Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,1,RAC01-05SC,AC/DC CONVERTER 5V 1W,,1,0,12.34000,12.34,
2,5,BC2301-ND,NTC THERMISTOR 10K OHM 5% BEAD,,5,0,0.66000,3.30,
3,1,P16NP-10K-ND,POT 10K OHM 1W CERMET LINEAR,,1,0,18.23000,18.23,
4,4,2N3904FS-ND,TRANS NPN 40V 0.2A TO-92,,4,0,0.21000,0.84,
5,1,RS225-ND,RESISTR KIT 1.1-910K 1/4W 360PCS,,1,0,14.95000,14.95,
6,2,Z2616-ND,RELAY GEN PURPOSE SPDT 16A 5V,,2,0,2.28000,4.56,
7,4,SW400-ND,SWITCH TACTILE SPST-NO 0.05A 24V,,4,0,0.35000,1.40,
8,2,67-1105-ND,LED RED DIFF 5MM ROUND T/H,,2,0,0.38000,0.76,
9,4,67-1098-ND,LED GRN DIFF 5MM ROUND T/H,,4,0,0.39000,1.56,
10,1,700-00078-ND,BREADBOARD SOLDERLESS,,1,0,6.86000,6.86,
11,10,1N4148FS-ND,DIODE GEN PURP 100V 200MA DO35,,10,0,0.06300,0.63,
